-,-,-
-744, -211, -667
-725, -283, -647
-716, -327, -707
-658, -346, -892
-615, -384, -1033
-529, -510, -1227
-218, -724, -1747
-122, -688, -1582
6, -627, -1262
124, -654, -798
124, -654, -798
303, -485, -314
347, -307, 172
304, -20, 702
282, 181, 1213
465, 518, 1596
731, 750, 1994
867, 739, 1998
741, 746, 1998
741, 746, 1998
714, 848, 1998
840, 935, 1998
1070, 899, 1998
1168, 536, 1989
1049, -72, 1429
748, -740, 472
583, -1016, -561
473, -874, -1494
126, -874, -1997
-256, -926, -1997
-459, -891, -1921
-,-,-
-689, -309, -654
-633, -353, -785
-532, -452, -1055
-422, -593, -1594
-363, -687, -1983
-342, -850, -1989
-229, -854, -1772
-62, -792, -1489
112, -822, -1271
347, -828, -1036
552, -825, -745
579, -819, -276
519, -723, 269
620, -293, 740
620, -293, 740
1165, 395, 1457
1432, 677, 1998
1482, 706, 1998
1469, 662, 1998
1362, 729, 1998
1400, 837, 1998
1479, 571, 1998
1329, 62, 1989
957, -536, 1347
706, -867, 186
546, -1056, -948
240, -1255, -1462
-15, -1185, -1640
-62, -892, -1873
-136, -719, -1997
-300, -708, -1997
-425, -643, -1889
-,-,-
-742, -299, -683
-795, -358, -834
-759, -462, -1005
-716, -569, -1295
-630, -690, -1679
-441, -820, -1963
-204, -829, -1997
-54, -853, -1904
151, -923, -1545
289, -973, -1066
327, -1135, -467
441, -1011, 152
641, -576, 776
988, 99, 1585
1088, 484, 1998
712, 407, 1998
382, 271, 1998
235, 213, 1998
457, 404, 1998
689, 559, 1998
689, 559, 1998
760, 399, 1998
721, 123, 1757
600, -169, 1296
487, -563, 911
314, -883, 477
136, -1122, -330
-55, -1118, -1287
-211, -968, -1927
-306, -833, -1997
-571, -787, -1995
-,-,-
-611, -35, -222
-615, -187, -380
-674, -276, -617
-669, -296, -800
-654, -386, -1018
-559, -545, -1473
-511, -776, -1939
-472, -908, -1997
-311, -862, -1937
-107, -858, -1734
-5, -1011, -1421
87, -1133, -1026
212, -1224, -638
271, -1207, -146
416, -871, 455
738, -243, 1034
1032, 185, 1626
1227, 401, 1998
1385, 532, 1998
1419, 370, 1998
1394, 407, 1998
1570, 670, 1998
1570, 670, 1998
1804, 821, 1998
1876, 597, 1998
1685, 89, 1985
1255, -644, 1493
884, -1104, 682
751, -1386, -301
655, -1659, -1427
432, -1519, -1996
41, -1223, -1997
-278, -969, -1990
-336, -715, -1895
-,-,-
-863, -160, -313
-831, -178, -378
-845, -247, -388
-883, -283, -468
-834, -252, -541
-785, -336, -683
-756, -448, -950
-722, -630, -1361
-699, -838, -1715
-627, -904, -1901
-524, -884, -1788
-376, -876, -1545
